trial threads xsize ysize total init sim edge_comm file_io err_total err_init err_sim err_edge_comm err_file_io
AVG 8 1000 8000 1.777000e+02 1.590300e-01 2.017500e+01 1.585700e+02 1.576000e+02 4.551923e-01 2.052123e-03 5.457182e-01 4.185809e-01 2.073644e-01
AVG 16 1000 8000 1.749800e+02 1.923600e-01 1.137400e+01 1.640100e+02 1.638000e+02 8.809086e-02 1.106345e-04 2.067791e-01 1.314914e-01 8.602325e-02
AVG 32 1000 8000 1.706000e+02 8.284000e-01 5.769500e+00 1.648000e+02 1.638000e+02 5.291503e-02 1.072478e-02 1.040606e-01 4.690416e-02 4.472136e-02
AVG 64 1000 8000 1.695000e+02 1.249300e+00 3.249400e+00 1.664900e+02 1.648600e+02 1.549193e-01 1.246680e-02 3.629201e-02 1.564928e-01 1.343131e-01


trial threads xsize ysize total init sim edge_comm file_io err_total err_init err_sim err_edge_comm err_file_io
AVG 1 1000 16000 6.751600e+02 3.800000e-01 3.462900e+02 1.545800e-01 3.283100e+02 2.112818e-01 2.214046e-03 8.208139e-02 5.888698e-03 1.633707e-01
AVG 2 1000 16000 5.018700e+02 3.770600e-01 1.733700e+02 3.278400e+02 3.278600e+02 1.319246e+00 3.523385e-03 3.873381e-01 9.668712e-01 9.030172e-01
AVG 4 1000 16000 4.155600e+02 3.829100e-01 8.762500e+01 3.283200e+02 3.274000e+02 3.852791e-01 7.892338e-04 2.980434e-01 3.872467e-01 2.449490e-01
AVG 8 1000 16000 3.508200e+02 3.134900e-01 3.913100e+01 3.127500e+02 3.116300e+02 6.894636e-01 2.355632e-04 8.181377e-01 6.753147e-01 1.490302e-01
AVG 16 1000 16000 3.478800e+02 6.107500e-01 2.362000e+01 3.259300e+02 3.251000e+02 7.242651e-01 2.472418e-03 6.370882e-01 6.709769e-01 5.608921e-01
AVG 32 1000 16000 3.380400e+02 9.026500e-01 1.291700e+01 3.266700e+02 3.258200e+02 6.473330e-01 4.382402e-03 1.177666e-01 6.446782e-01 5.964562e-01
AVG 64 1000 16000 3.341600e+02 1.599000e+00 6.650800e+00 3.282000e+02 3.259200e+02 2.316031e-01 1.090504e-02 1.354360e-01 1.849324e-01 1.433876e-01
