trial threads xsize ysize total init sim edge_comm file_io err_total err_init err_sim err_edge_comm err_file_io
1 32 1000 1000 2.324e+01 6.685e-01 7.174e-01 2.239e+01 2.159e+01
2 32 1000 1000 2.333e+01 6.597e-01 8.640e-01 2.249e+01 2.167e+01
3 32 1000 1000 2.324e+01 7.208e-01 8.610e-01 2.234e+01 2.149e+01
4 32 1000 1000 2.334e+01 7.400e-01 8.558e-01 2.248e+01 2.150e+01
5 32 1000 1000 2.331e+01 6.900e-01 7.329e-01 2.244e+01 2.163e+01
6 32 1000 1000 2.332e+01 7.101e-01 7.597e-01 2.242e+01 2.157e+01
7 32 1000 1000 2.333e+01 6.817e-01 7.608e-01 2.247e+01 2.162e+01
8 32 1000 1000 2.334e+01 6.996e-01 7.360e-01 2.246e+01 2.162e+01
9 32 1000 1000 2.324e+01 6.817e-01 7.716e-01 2.237e+01 2.156e+01
10 32 1000 1000 2.328e+01 6.895e-01 7.159e-01 2.240e+01 2.151e+01
AVG 32 1000 1000 2.329700e+01 6.941600e-01 7.775100e-01 2.242600e+01 2.157600e+01 1.288798e-02 7.273324e-03 2.473543e-02 1.511291e-02 1.834121e-02


1 1 1000 16000 6.755e+02 3.601e-01 3.466e+02 1.678e-01 3.283e+02
2 1 1000 16000 6.764e+02 3.819e-01 3.467e+02 1.852e-01 3.291e+02
3 1 1000 16000 6.757e+02 3.829e-01 3.464e+02 1.414e-01 3.288e+02
4 1 1000 16000 6.745e+02 3.811e-01 3.462e+02 1.273e-01 3.277e+02
5 1 1000 16000 6.749e+02 3.812e-01 3.461e+02 1.404e-01 3.283e+02
6 1 1000 16000 6.746e+02 3.799e-01 3.459e+02 1.392e-01 3.282e+02
7 1 1000 16000 6.746e+02 3.811e-01 3.465e+02 1.423e-01 3.275e+02
8 1 1000 16000 6.742e+02 3.885e-01 3.460e+02 1.526e-01 3.277e+02
9 1 1000 16000 6.758e+02 3.822e-01 3.464e+02 1.785e-01 3.288e+02
10 1 1000 16000 6.754e+02 3.811e-01 3.461e+02 1.711e-01 3.287e+02
AVG 1 1000 16000 6.751600e+02 3.800000e-01 3.462900e+02 1.545800e-01 3.283100e+02 2.112818e-01 2.214046e-03 8.208139e-02 5.888698e-03 1.633707e-01


1 2 1000 16000 5.045e+02 3.821e-01 1.739e+02 3.300e+02 3.307e+02
2 2 1000 16000 5.061e+02 3.851e-01 1.746e+02 3.309e+02 3.302e+02
3 2 1000 16000 5.060e+02 3.810e-01 1.748e+02 3.311e+02 3.303e+02
4 2 1000 16000 5.030e+02 3.812e-01 1.738e+02 3.287e+02 3.286e+02
5 2 1000 16000 5.027e+02 3.442e-01 1.737e+02 3.282e+02 3.283e+02
6 2 1000 16000 5.042e+02 3.805e-01 1.739e+02 3.293e+02 3.294e+02
7 2 1000 16000 5.036e+02 3.815e-01 1.735e+02 3.293e+02 3.293e+02
8 2 1000 16000 4.999e+02 3.793e-01 1.732e+02 3.260e+02 3.263e+02
9 2 1000 16000 4.959e+02 3.786e-01 1.717e+02 3.235e+02 3.238e+02
10 2 1000 16000 4.928e+02 3.771e-01 1.706e+02 3.214e+02 3.217e+02
AVG 2 1000 16000 5.018700e+02 3.770600e-01 1.733700e+02 3.278400e+02 3.278600e+02 1.319246e+00 3.523385e-03 3.873381e-01 9.668712e-01 9.030172e-01


1 4 1000 16000 4.181e+02 3.838e-01 9.018e+01 3.302e+02 3.274e+02
2 4 1000 16000 4.146e+02 3.806e-01 8.699e+01 3.273e+02 3.275e+02
3 4 1000 16000 4.154e+02 3.889e-01 8.721e+01 3.280e+02 3.275e+02
4 4 1000 16000 4.157e+02 3.825e-01 8.725e+01 3.281e+02 3.279e+02
5 4 1000 16000 4.156e+02 3.826e-01 8.722e+01 3.280e+02 3.277e+02
6 4 1000 16000 4.156e+02 3.856e-01 8.742e+01 3.280e+02 3.276e+02
7 4 1000 16000 4.156e+02 3.811e-01 8.730e+01 3.281e+02 3.278e+02
8 4 1000 16000 4.168e+02 3.825e-01 8.752e+01 3.289e+02 3.286e+02
9 4 1000 16000 4.150e+02 3.807e-01 8.826e+01 3.305e+02 3.262e+02
10 4 1000 16000 4.132e+02 3.808e-01 8.690e+01 3.261e+02 3.258e+02
AVG 4 1000 16000 4.155600e+02 3.829100e-01 8.762500e+01 3.283200e+02 3.274000e+02 3.852791e-01 7.892338e-04 2.980434e-01 3.872467e-01 2.449490e-01


1 8 1000 16000 3.516e+02 3.140e-01 3.962e+01 3.133e+02 3.118e+02
2 8 1000 16000 3.500e+02 3.150e-01 3.794e+01 3.119e+02 3.116e+02
3 8 1000 16000 3.503e+02 3.134e-01 3.804e+01 3.122e+02 3.118e+02
4 8 1000 16000 3.498e+02 3.128e-01 3.793e+01 3.118e+02 3.115e+02
5 8 1000 16000 3.511e+02 3.138e-01 3.887e+01 3.129e+02 3.120e+02
6 8 1000 16000 3.570e+02 3.127e-01 4.667e+01 3.189e+02 3.127e+02
7 8 1000 16000 3.492e+02 3.135e-01 3.781e+01 3.113e+02 3.111e+02
8 8 1000 16000 3.492e+02 3.137e-01 3.778e+01 3.113e+02 3.110e+02
9 8 1000 16000 3.498e+02 3.122e-01 3.779e+01 3.118e+02 3.116e+02
10 8 1000 16000 3.502e+02 3.138e-01 3.886e+01 3.121e+02 3.112e+02
AVG 8 1000 16000 3.508200e+02 3.134900e-01 3.913100e+01 3.127500e+02 3.116300e+02 6.894636e-01 2.355632e-04 8.181377e-01 6.753147e-01 1.490302e-01


1 16 1000 16000 3.468e+02 6.204e-01 2.195e+01 3.248e+02 3.243e+02
2 16 1000 16000 3.464e+02 6.105e-01 2.195e+01 3.244e+02 3.238e+02
3 16 1000 16000 3.477e+02 6.261e-01 2.608e+01 3.256e+02 3.252e+02
4 16 1000 16000 3.485e+02 5.968e-01 2.603e+01 3.265e+02 3.257e+02
5 16 1000 16000 3.482e+02 6.106e-01 2.595e+01 3.261e+02 3.256e+02
6 16 1000 16000 3.465e+02 6.104e-01 2.219e+01 3.251e+02 3.238e+02
7 16 1000 16000 3.473e+02 6.105e-01 2.195e+01 3.252e+02 3.247e+02
8 16 1000 16000 3.466e+02 6.104e-01 2.201e+01 3.252e+02 3.240e+02
9 16 1000 16000 3.464e+02 6.104e-01 2.191e+01 3.244e+02 3.239e+02
10 16 1000 16000 3.544e+02 6.014e-01 2.618e+01 3.320e+02 3.300e+02
AVG 16 1000 16000 3.478800e+02 6.107500e-01 2.362000e+01 3.259300e+02 3.251000e+02 7.242651e-01 2.472418e-03 6.370882e-01 6.709769e-01 5.608921e-01


1 32 1000 16000 3.382e+02 9.113e-01 1.273e+01 3.268e+02 3.260e+02
2 32 1000 16000 3.388e+02 9.105e-01 1.301e+01 3.275e+02 3.267e+02
3 32 1000 16000 3.434e+02 9.304e-01 1.343e+01 3.320e+02 3.308e+02
4 32 1000 16000 3.384e+02 9.005e-01 1.342e+01 3.270e+02 3.258e+02
5 32 1000 16000 3.389e+02 9.002e-01 1.277e+01 3.275e+02 3.265e+02
6 32 1000 16000 3.363e+02 8.819e-01 1.295e+01 3.249e+02 3.241e+02
7 32 1000 16000 3.366e+02 9.106e-01 1.277e+01 3.253e+02 3.246e+02
8 32 1000 16000 3.368e+02 9.004e-01 1.269e+01 3.254e+02 3.247e+02
9 32 1000 16000 3.369e+02 8.803e-01 1.270e+01 3.256e+02 3.249e+02
10 32 1000 16000 3.361e+02 9.004e-01 1.270e+01 3.247e+02 3.241e+02
AVG 32 1000 16000 3.380400e+02 9.026500e-01 1.291700e+01 3.266700e+02 3.258200e+02 6.473330e-01 4.382402e-03 1.177666e-01 6.446782e-01 5.964562e-01


1 64 1000 16000 3.337e+02 1.650e+00 6.386e+00 3.278e+02 3.257e+02
2 64 1000 16000 3.337e+02 1.560e+00 6.454e+00 3.278e+02 3.254e+02
3 64 1000 16000 3.360e+02 1.620e+00 6.366e+00 3.296e+02 3.268e+02
4 64 1000 16000 3.334e+02 1.550e+00 6.505e+00 3.276e+02 3.256e+02
5 64 1000 16000 3.335e+02 1.580e+00 6.358e+00 3.276e+02 3.254e+02
6 64 1000 16000 3.345e+02 1.630e+00 7.640e+00 3.286e+02 3.265e+02
7 64 1000 16000 3.342e+02 1.550e+00 6.990e+00 3.283e+02 3.263e+02
8 64 1000 16000 3.341e+02 1.630e+00 6.386e+00 3.282e+02 3.259e+02
9 64 1000 16000 3.347e+02 1.611e+00 6.359e+00 3.286e+02 3.260e+02
10 64 1000 16000 3.338e+02 1.609e+00 7.064e+00 3.279e+02 3.256e+02
AVG 64 1000 16000 3.341600e+02 1.599000e+00 6.650800e+00 3.282000e+02 3.259200e+02 2.316031e-01 1.090504e-02 1.354360e-01 1.849324e-01 1.433876e-01


1 1 1000 2000 8.618e+01 4.847e-02 4.401e+01 2.305e-02 4.210e+01
2 1 1000 2000 8.670e+01 4.878e-02 4.453e+01 2.213e-02 4.209e+01
3 1 1000 2000 8.612e+01 4.831e-02 4.393e+01 2.252e-02 4.211e+01
4 1 1000 2000 8.619e+01 4.850e-02 4.397e+01 2.287e-02 4.214e+01
5 1 1000 2000 8.626e+01 4.834e-02 4.399e+01 2.209e-02 4.220e+01
6 1 1000 2000 8.622e+01 4.869e-02 4.399e+01 2.290e-02 4.216e+01
7 1 1000 2000 8.628e+01 4.868e-02 4.401e+01 2.302e-02 4.219e+01
8 1 1000 2000 8.694e+01 4.885e-02 4.431e+01 2.471e-02 4.255e+01
9 1 1000 2000 8.664e+01 4.842e-02 4.400e+01 2.450e-02 4.256e+01
10 1 1000 2000 8.743e+01 4.851e-02 4.485e+01 2.361e-02 4.250e+01
AVG 1 1000 2000 8.649600e+01 4.855500e-02 4.415900e+01 2.314000e-02 4.226000e+01 1.282669e-01 5.552027e-05 9.941459e-02 2.682424e-04 5.844656e-02


1 2 1000 2000 6.485e+01 4.803e-02 2.206e+01 4.272e+01 4.276e+01
2 2 1000 2000 6.488e+01 4.831e-02 2.207e+01 4.274e+01 4.277e+01
3 2 1000 2000 6.484e+01 4.819e-02 2.206e+01 4.271e+01 4.273e+01
4 2 1000 2000 6.481e+01 4.828e-02 2.205e+01 4.268e+01 4.272e+01
5 2 1000 2000 6.480e+01 4.813e-02 2.207e+01 4.267e+01 4.270e+01
6 2 1000 2000 6.488e+01 4.838e-02 2.213e+01 4.268e+01 4.272e+01
7 2 1000 2000 6.483e+01 4.786e-02 2.204e+01 4.272e+01 4.274e+01
8 2 1000 2000 6.488e+01 4.814e-02 2.209e+01 4.273e+01 4.277e+01
9 2 1000 2000 6.884e+01 4.842e-02 2.609e+01 4.628e+01 4.267e+01
10 2 1000 2000 6.480e+01 4.815e-02 2.201e+01 4.271e+01 4.274e+01
